,One,Two,Three,Four,Five,Six
0,0.3459739951234512,0.4288113841917063,0.6692094769161603,0.14472705977864175,0.8301726012404576,0.26497010538506316
1,0.7176040233353598,0.19271480450665845,0.3312749415371887,0.23036347919987876,0.3064849446279231,0.4639267896951642
2,0.28568396347625313,0.46872384698653136,0.5469961356205936,0.6406709158601763,0.6911536418691357,0.7921774018714398
3,0.4044746150261226,0.08559241255916827,0.2365143208839926,0.42733963752908377,0.4492612326575386,0.7127893312096999
4,0.6004663125125503,0.8554073946515026,0.5539491821674001,0.9227418729128966,0.8678439650517589,0.7864853014929905
5,0.5214389642462701,0.6467584493819835,0.46293374750500715,0.13001297188888605,0.12482640290326052,0.5516604325166472
6,0.45787985034361756,0.2881170451317855,0.8725255982326827,0.41425463363574155,0.11837757871497945,0.04564377603813086
7,0.890032459142687,0.7950607165213549,0.20488189936567824,0.7547060958031901,0.2752354776260314,0.9016804602598764
8,0.6885731330384821,0.18751256483291534,0.25398705606134664,0.16465163228146396,0.9080785949519722,0.7171869888132619
9,0.856858022710161,0.4839420253094435,0.3796009538483677,0.13010332062198082,0.4905236524214477,0.8399602476965452
10,0.41561791448343677,0.251113842001766,0.47485093597223604,0.3939798865113253,0.019275506225024497,0.3586730679041513
11,0.28023083819619077,0.9047782007189505,0.6728398296739471,0.8513333804106274,0.4443785683276703,0.02053968978761378
12,0.7637437241635868,0.04737989030191481,0.773798951828747,0.6888660735067047,0.7245841716163086,0.015031764386872704
13,0.42684400631097386,0.715102740698266,0.3923751881465579,0.11531040866458153,0.9473035035329308,0.5423744697909555
14,0.925960478986953,0.7427871273265957,0.26350799252546775,0.9488019147737965,0.6248473048833392,0.06144942609771176
15,0.9879475875073458,0.6260223456681242,0.2933296962911677,0.8687625777947889,0.689272706081244,0.8079812384701629
16,0.7785070468224364,0.3702946805274119,0.6117353012794127,0.3218042263558478,0.07057455628474141,0.06856019462042773
17,0.1264765888036451,0.19783431849894895,0.18051740120772353,0.09984035335213892,0.34198457282554817,0.7857471471772788
18,0.918781899075848,0.6323975468998688,0.9595953555683852,0.4485898905519452,0.2392916431210914,0.1753184876151639
19,0.9773307519552646,0.12571465789131242,0.33798153177331325,0.6662005253021915,0.9131204783957724,0.5940756245156761
20,0.7344313199907049,0.5566458196943395,0.030859420456741393,0.605949752012448,0.9894646394760425,0.44835472446356484
21,0.020612128893682247,0.08173948811961163,0.8856459161084829,0.9304091149523838,0.29207907962699253,0.22055180879431513
22,0.3718567591246672,0.6180646027291351,0.8991478651729489,0.3524653207374169,0.5580030052939247,0.44637010935722354
23,0.10002638374714135,0.9868268076254814,0.3464281863029073,0.06536591118995139,0.3922055546530482,0.48375727876147745
24,0.6008935590220689,0.2757777176987566,0.6011642028185193,0.5920460081466431,0.8148713898637313,0.1998596521005488
25,0.14839121084971474,0.034563093797788214,0.350966773137279,0.06394644331960164,0.4155800588989953,0.34617053435349987
26,0.6610446743807835,0.04057146918463195,0.7743014110991107,0.5356361790452344,0.0967847121363653,0.745739691882913
27,0.36206497356435385,0.30090027616898807,0.004109317931024092,0.702627045203656,0.6355096399124038,0.15319982522946773
28,0.2727528370265132,0.6019148783198354,0.5022302194659585,0.3259636667618926,0.057450195790860636,0.8839362969703752
29,0.5410474611778232,0.40553324143616276,0.921889387551749,0.4240064965088498,0.510186209169883,0.36976741080283504
